company,introduction,end_market,industry,link,link_corrected
Karben,RTO,"Early education, aged care, business",Education,http://karbentraining.com.au/,https://kts.edu.au/
kwik-ZIP,Spacer manufacturer and supplier,Oil & Gas,"Mining, oil and gas",http://kwikzip.com/,https://kwikzip.com/
Labec,Laboratory equipment manufacturing,Laboratory,Manufacturing,https://labec.com.au,https://labec.com.au/
Laboratory Analysers Australia,Scientific analyser equipment distribtution and services,"Civil, mining, industrial",Wholesale trade,http://www.laboratoryanalysers.com.au/,https://laboratoryanalysers.com.au/
LAF Technologies,"Supplier of scientific, environmental, particle research and controlled environment systems and instrumentation",Distribution,Wholesale trade,http://laftech.com.au/home/about-us/,https://laftech.com.au/home/about-us/
Laser Aid,"Importer and supplier providing equipment, consumables and maintenance services to niche sectors in the cosmetic industry",Cosmetic Industry,Services - other,,https://laseraid.com.au/about-us/
Lawnswood,Pet funeral and cremation services,Pets,Services - other,http://lawnswood.com.au/,https://lawnswood.com.au/
Learnosity Ltd,eLearning software infrastructure,,IT - Software,,https://learnosity.com/company/contact/
Levett Engineering,A precision component manufacturer for different sectors,Defence,Manufacturing,http://www.levett.com.au/about-us/,https://levett.com.au/about-us/
LFA First Response,First response medical products distribution,Distribution,Healthcare,https://lfafirstresponse.com.au/lfa-first-response,https://lfafirstresponse.com.au/lfa-first-response/
LG Software Solutions,Software and services to state and local government,Business process,IT - Software,http://lgss.com.au/AboutUs.aspx,https://lgss.com.au/AboutUs.aspx
LinkSafe,Online induction systems and compliance programs,Compliance,IT - Software,http://linksafe.com.au,https://linksafe.com.au/
Linx Institute,Care-based vocational education & training,RTO,Education,https://linx.edu.au/about-us/,https://linx.edu.au/about-us/
LMATS,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",,https://lmats.com.au/
LMT Surgical,Medical device distribution,Medical devices,Healthcare,http://www.lmtsurgical.com/about-us/,https://lmtsurgical.com/
LUXICO,Luxury home stay marketplace,Accommodation,IT - Software,https://luxico.com.au/,https://luxico.com.au/
LX Group,specialist developer of IoT systems and software,Agriculture,IT - Software,https://lx-group.com.au,https://lx-group.com.au/
Bedrock Offsite Modular Solutions,Household modular solutions manufacturing,Residential,Manufacturing,http://www.bedrockoffsite.com/,https://m.facebook.com/bedrockoffsite/?_ft_=top_level_post_id.1194680363977466%3Atl_objid.1194680363977466%3Apage_id.1154743041304532%3Athid.1154743041304532%3A306061129499414%3A69%3A0%3A1506841199%3A4912309120398181421&__tn__=C-R
Macquarie Health Corporation,Private and rehabilitation hospitals,Rehabilitation,Healthcare,http://www.machealth.com.au/,https://machealth.com.au/
MAC Surgical,"maintenance, repair, design and manufacture of surgical instruments, implants and tools",Medical Services,"Services - professional, scientific, and technical",https://macsurgical.com.au/,https://macsurgical.com.au/
Major Training Group,RTO,"Mining, construction, transport",Education,https://major.com.au/,https://major.com.au/
Manad Plus,"Aged care software solution for residential care, retirement village or home care service",Aged care,Healthcare,https://manad.com.au/about/,https://manad.com.au/about/
Marathon Robotics,Robots,"Military, eCommerce",Manufacturing,,https://marathon-targets.com/
Clinical Genomics Informatics,Clinical lab services business,Scientific research,"Services - professional, scientific, and technical",,https://marceldinger.net/index.php?title=Marcel_Dinger_-_Profile
Marcus Oldham College,"TEQSA (Agriculture, agribusiness, equine management)","Agriculture, agribusiness, equine management",Education,http://www.marcusoldham.vic.edu.au/,https://marcusoldham.vic.edu.au/
Market Boomer,Hospitality procurement system,Hospitality services,IT - Hardware,http://www.marketboomer.com/,https://marketboomer.com/
Materials Consultants,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",http://matcons.com.au/our-people/,https://matcons.com.au/our-people/
Mathspace,Mathematics software,Education,IT - Software,https://mathspace.co/,https://mathspace.co/
Technical Matrix Services,Oil and gas software,IT - Software,IT - Software,http://www.matrixplus.com.au/index.html,https://matrixplus.com.au/
Matrix Surgical,"Supplier, manufacturer and importer of surgical equipment",Surgical equipment,Healthcare,https://matrixsurgical.com.au/about-us/,https://matrixsurgical.com.au/news/
Max Cranes,Speciality O&G crane hire,Gear hire,"Mining, oil and gas",,https://maxcranes.com.au/
Medasense Biometrics Ltd,Pain management medical device,Medical device,Healthcare,,https://medasense.com/
Medelect,Medical equipment maintenance and repair services,Medical,"Services - professional, scientific, and technical",http://www.medelect.com.au,https://medelect.com.au/
Medico Services,Offers clinical and related waste services,Medical waste management,"Services - professional, scientific, and technical",http://medicoservices.com.au/,https://medicoservices.com.au/
Future Tooth Dental Stem Cell Storage,Dental stem cell storage,Stem cell technology,"Services - professional, scientific, and technical",https://www.futuretooth.com.au/pages/banking-stem-cells,https://medium.com/@StemCellBankingProcess/stem-cell-banking-process-f3d3e6c9800
MessageMedia,Business comms service,SMS services,IT - Software,,https://messagemedia.com/nz/contact/
MineARC Systems,Manufacture of emergency refuge chambers and ancillary safety equipment,Mining and chemical industries,Manufacturing,http://www.minearc.com/,https://minearc.com/
MIP Australia,Data warehousing and information management software,SME,IT - Software,https://www.mip.com.au/about,https://mip.com.au/home/about-us/
Misafe Solutions,"Quality, Health, Safety and Environmental (QHSE) consulting firm& Risk Management Systems",Corporate risk,"Services - professional, scientific, and technical",https://misafesolutions.com.au/misafe-risk-management-consultants/,https://misafesolutions.com.au/misafe-risk-management-consultants/
Mobecom,Customer engagement software,Customer engagement,IT - Software,www.mobecom.co,https://mobecom.co/
Mobile Test 'n' Cal,"Provides onsite high voltage testing, calibration, inspection, and repair service",Compliance Solutions,"Services - professional, scientific, and technical",https://www.mobiletestncal.com.au/,https://mobiletestncal.com.au/
Modica,Telecommunications,Messaging services,Telecommunications,http://www.modicagroup.com/,https://modicagroup.com/
Modus Projects,"Building maintenance, FM and refurb, corporate clients","Construction, FM",Construction,http://modusprojects.com.au/,https://modusprojects.com.au/
Higher education SaaS Co - MDA to update,,,Education,,https://monitor.icef.com/2020/02/coronavirus-update-schools-and-universities-brace-for-impact-amid-global-response/
Moroku,Online payments technology,Fintech,IT - Software,,https://moroku.com/
Moula,SME business loans,SME,Finance and insurance,www.moula.com.au,https://moula.com.au/
MTData,"SaaS provider of GPS telematics, fleet management and dispatch solutions",Transport,IT - Software,http://mtdata.com.au/,https://mtdata.com.au/
Netsight,Environmental health & safety software,OH&S,IT - Software,http://myosh.com/about-us/,https://myosh.com/about-us/
MySmart,Building control and management solutions provider,Energy efficiency,"Services - professional, scientific, and technical",https://mysmart.com.au/about-us/,https://mysmart.com.au/about-us/
Napoleon Perdis,"Australia?s pre-eminent, prestige make-up cosmetic brand",Cosmetic,Retail trade,https://napoleonperdis.com/aus,https://napoleonperdis.com/
Natural Solar,"Offers natural solar energy solutions in residential, commercial and industrial areas",Energy Storage Solutions,Utilities,https://naturalsolar.com.au/,https://naturalsolar.com.au/
Nautitech,mining and industrial safety and testing products industry,Testing services,"Services - professional, scientific, and technical",http://nautitech.com.au/,https://nautitech.com.au/
Cloud Contact CentreCo,Cloud Contact CentreCo,Contact centre,"Services - professional, scientific, and technical",,https://netfone.com.au/
NeuroTek,"Medical device, equipment and support in neurological space",Distribution,Healthcare,http://neurotek.com.au/about-us/,https://neurotek.com.au/
Neutrog,manufacturer and distributor of biological fertilisers,Agriculture,Manufacturing,http://www.neutrog.com.au,https://neutrog.com.au/
SiteSoft,Building management software,SaaS,IT - Software,,https://new-zealand.globalfinder.org/company_page/sitesoft-nz-ltd
Steel Fabricator 1,Structural steel fabricator,Structural steel,Manufacturing,,https://newzealand.recruit.net/search-steel-fabricator-jobs
Nexon,"Cloud, unified communications, business applications and managed IT service provider","Government, corporate (small, medium and enterprise) and not-for-profit organisations",IT - Software,,https://nexon.com.au/
Next Business Energy,SME energy retailer,Energy,Utilities,,https://nextbusinessenergy.com.au/
Next Payments Pty Ltd,Cash services,Payments,Services - administrative and support,,https://nextpayments.com.au/about/
NGIS,Geospatial mapping software,Government and resources,IT - Software,http://ngis.com.au/,https://ngis.com.au/
Nimble,Online consumer loans,Consumer loans,Finance and insurance,www.nimble.com.au,https://nimble.com.au/
NuGrow,Waste management,"Resources, infrastructure, agriculture and government",Services - other,http://nugrow.com.au/,https://nugrow.com.au/
NZ agricultural processing Co,NZ agricultural processing,Processing,Agriculture,,https://nz.kompass.com/s/agriculture-food/01/
Plexus Corp.,Outsourced legal services and software,Legal,IT - Software,,https://nz.linkedin.com/company/plexus
PROJECT Hygieia,Safety products and services,Industrial,Wholesale trade,,https://nz.linkedin.com/in/william-rainger-a6026b2b
All Things Dance,Dance venues and tuition,Entertainment,Education,,https://nzdc.org.nz/
Olikka,"IT systems integration, cloud solutions, systems management","SME, government",IT - Software,http://olikka.com.au/,https://olikka.com.au/
OneShift Pty Ltd,HR tech platform,HR services,IT - Hardware,https://au.oneshiftjobs.com/,https://oneshiftjobs.com/
OpenMarkets,Online trading platform,Trading platform,IT - Software,www.openmarkets.com.au,https://openmarkets.com.au/
